GSPC;DJI
-1,424364008;5,414653917
0,940625711;-4,92215375
-0,198364316;7,485277629
-0,149389297;0,332773011
0,840048488;-3,73292078
-0,110750284;0,049293363
0,639966578;-5,736240696
0,135299678;4,120122441
-0,083183333;-1,845744428
-0,139701944;1,344089376
-0,993899873;6,126526732
0,524880974;-5,423584314
0,13799139;1,389486879
0,776284917;-5,337079646
0,006578255;1,675442224
0,354100502;-2,115421772
0,165784147;3,888289088
-0,555047485;2,501384008
-0,909231749;8,682498186
-1,791501986;13,71431901
1,111717823;-13,96577786
0,077219581;-0,904623603
-1,092823605;12,48356292
1,488103747;-12,39719992
0,461568383;-7,712711096
0,631649679;2,150822002
-0,140316382;-3,826380669
0,154021975;-4,36498531
-1,388348658;13,22132479
0,597233362;-3,210618295
-1,316874772;10,26468903
-0,340211917;5,532231825
-0,34325083;12,59748792
0,877993778;-19,61065243
-0,060738152;0,039617488
-0,175764499;4,319650369
1,045030634;-5,274140501
0,338479875;-3,191244754
0,01584708;3,659874049
0,31094923;-5,058928776
0,073184399;2,920573401
-1,447608351;14,72849891
0,551604604;-5,46310598
1,868664881;-6,863956326
0,290755012;-2,566434588
-0,21103748;2,838161821
-0,028588342;0,231492846
-0,225651813;2,314904491
0,427003551;-4,956908823
-1,248521192;10,6753193
0,466840994;-0,854153779
-2,019221975;9,824831431
0,446570364;-2,480532977
-2,380420699;13,59047316
-1,630988791;15,2800459
1,001273287;-14,70469586
-1,29163509;11,92908211
0,702750836;0,61097676
0,416075798;-10,95118704
-2,713484645;17,00638129
2,367502149;-9,262080944
0,595141623;-6,228998853
1,378469416;-0,536254056
-3,028712486;21,04175062
0,018940741;6,622450534
-0,06844695;-6,332654244
-1,851245401;4,067983808
-1,419451676;10,23273145
0,305446301;0,495573087
2,408050748;-2,787178204
-0,045874085;-13,04025522
0,089640664;-4,213035069
1,145576233;-9,837359834
-0,126195003;-1,211310828
1,127995954;-8,798267867
-0,872901031;9,189864781
-2,394200153;14,60758184
2,149599295;-9,971081556
-0,437883313;5,091975816
1,096524446;-6,963952919
1,022475084;-2,624544426
-1,175683214;7,580256932
0,405381424;-2,454356019
-1,724209551;8,901918413
-0,146268256;4,266145656
1,335117792;-8,044239484
-0,014144184;-1,259095086
0,819525733;-0,829258852
0,00131173;0,61937132
-0,53226277;6,047150425
2,860052329;-26,35563521
0,587890133;-1,609724519
-0,693499671;2,050419889
0,44094059;-7,379148512
-0,545936651;1,903901698
-0,05317466;-4,081148123
0,520765619;-5,380717393
0,371042368;-3,663612853
-0,321705824;5,691088094
1,301310141;-0,917616364
-0,045413777;3,553938535
-0,475130693;1,637923835
0,19196683;-1,958207719
0,93258228;-8,686464235
-0,341075658;3,175979733
0,7874588;-8,009922692
-0,190285593;3,330236475
-0,536086803;12,42448781
0,45539009;-6,309252057
-0,860579089;8,200540775
-0,678392565;3,897318025
0,157078836;-7,704869271
-0,094200462;-0,240741489
-2,613836973;21,57352629
0,360211797;-5,945765303
0,857528115;-5,876596385
-0,263346598;1,868042891
-0,116585338;1,738461362
1,350439852;-7,934600457
0,351671254;1,547696051
-0,667343011;5,839158802
1,173160269;-12,87066665
-2,696794747;22,494455
0,061282824;-0,890180605
-0,515615156;5,471131025
1,178814673;-12,82118037
-2,999878518;21,3596294
-0,076523651;-1,27833096
-1,457912068;8,542502779
-1,022751071;8,67346039
2,848872587;-25,49219165
-0,728353633;7,332684404
-1,348954723;7,83112887
0,502762204;-9,630635355
-1,780354003;1,994732817
0,428710512;-4,466438468
-1,624413605;7,558155153
1,656036724;-4,715790575
-2,370202465;12,09570839
1,463073659;-9,562685726
2,797056561;-8,64290309
0,028730288;-0,607125984
0,755112651;-4,722448787
-0,609379452;3,159680879
-0,675079628;0,734744
1,488685681;-5,466510042
1,473591404;-7,247951999
-0,196856222;-0,55093964
0,729283584;-0,553727834
-2,578493012;12,85111577
0,584282099;-4,888938463
0,103451685;0,374980771
-1,403068108;3,073906211
-1,532391307;5,207660085
0,6071101;-8,00184348
-0,155081492;-4,357556549
0,469917768;-5,231797907
1,634336436;-10,84195232
0,78555018;0,676630775
0,06192506;0,29730818
-1,457432135;8,20187705
